identity,question,a འདི་ཡང་,b,c,d,correct_ answer
hsc-botany-12-11,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,མེ་རོ་ཇེཊ་,རྟགས་མཚན་གྱི་སྒྲོམ་,དྲུང་ཆེན་,ཌི་ཨེམ་བི་ཨོཌི་ ཏོརཕ་ཇོ་ཡེཊ་,d
hsc-botany-12-12,རང་བཞིན་གྱི་སྐྱེ་ལྡན་དང་ སྐྱེ་ལྡན་རིགས་ཀྱི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་བར་ནའི་,ཀ་པུས་ (carpus) ཀ་བཱོལ་,ལན་སླབ་ནི་,དཀར་འབྲུ་,རྦ་རླབས་,d
hsc-botany-12-13,Cycas གི་ཤིང་གི་ཡན་ལག་ག་འདི་ སྦུལ་གྱི་ཧིང་དང་འདྲཝ་ཨིན་ན་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii,དང་ iii",d
hsc-botany-12-14,ནད་འབུབ་འདི་ག་ཅི་ལུ་བརྟེན་འོངམ་ཨིན་ན?,པྲོཊོ་ཌར་མ,པྲོ་ཀཱམ་བི་ཡམ་,Ground Maristeme འདི་ རྒྱ་མཚོའི་མཐའ་མ་ལུ་ཆགས་ཏེ་ཡོདཔ་ཨིན།,པྲོམོ་རི་སི་ཊེམ་,b
hsc-botany-12-15,ལྡུམ་ར་ནང་གི་སོན་འདི་ ...,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,མེ་ཊ་ཕེསི་,ཨ་ན་ཕ་ཇ་,གློག་ཐག་ར་བ་,a
hsc-botany-12-16,i. མཚམས་སྒྲོམ་འདི་ རྒྱགས་ཏོ་ནང་ལུ་མེདཔ་ཨིན།,ཀོ་རཱལ་ཨེ་ཌ་གི་རྩ་བ་,སེ་འབྲུ་གསུམ་ལྡན་,གྲུབ་འབྲས་ཐོབ་ནུག,ཌའི་ལོག་ཨེབ་གཏང་འབད།,a
hsc-botany-12-17,༢། དེ་ཚུ་ག་ར་ལུ་ ནད་འབུབ་ཐོབ་མ་ཚུགས་པས།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",b
hsc-botany-12-18,གསུམ་པ་ སྦྱང་བརྡར་གྱི་ལཱ་ཚུ་,Pyrruvic acid kinase འདི་ཡང་ ཌའི་ལོག་གི་ཨསིཌ་ཀི་ནེསི་ཨིན་མས།,ཌའི་ཧའི་ཌོ་ཇེ་ནེསི་,རུ་བིསི་ཀོ་,ཕོསི་ཕེཊ་ཟེར,c
hsc-botany-12-19,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii,དང་ iii",c
hsc-botany-12-20,རྩ་བ་གི་པགས་པ་ལུ་ ག་ཅི་སླབ་ནི་ཨིན་ན?,G_1,S,G_2,M,b
hsc-botany-12-21,སཱཕ་ནར་གྱི་སོན་འདི་ མ་ལ་རི་ཡཱན་ནད་འབུབ་གི་ཚེ་རིང་གི་གནས་སྟངས་ནང་ ཚར་ག་དེ་ཅིག་ལུ་ འོང་དོ་ཡོདཔ་ཨིན་ན?,ཁམས་ལོག་སི་སི་གི་རྒྱུ་རྫས་འདི་ ཨེསི་ཌི་ཨའི་བི་ (ABA) ཟེར་མི་ ཨེསི་ཌི་ཨའི་བི་ (ABA) ཟེར་མི་ཅིག་ཨིན་མས།,ཨེས་ཀཱལ་ཨེས་ཊི་ཨེས་ཏིག་ ཨེསི་ཌི་,པི་རུ་ཝི་ཀ ཨེ་སིཌ་,མ་ལི་ཀཨེ་སིཌ་,b
hsc-botany-12-22,ཚ་རིམས་ཀྱི་ནད་གཞི་གི་དོན་ལུ་ སྔོ་ཤིང་འདི་ ག་ཅི་སྦེ་ལག་ལེན་འཐབ་དོ་ཡོདཔ་ཨིན་ན?,ལེཔ་ཏོ་ཊིན་,ཟི་གཱོ་ཏིན་,པ་ཀི་ཊིན་,ཌིཔ་ལོཊིན་,c
hsc-botany-12-24,i. ཌེང་གི་འདི་བཏོན་བཏངམ་ཨིན།,སྒྱུ་རྩལ་,མེ་ཏོག་པདྨ་,དཀར་འབྲུ་,"i, ii,དང་ iii",c
hsc-botany-12-25,༢། འདི་ཡང་ ཕོ་གཅིག་འབད་མི་ མེ་ཏོག་གི་རྒྱུད་ལུ་ཨིན་མས།,ཁ་སླབ་ནི་,ཧའི་བི་རི་ཡཱན་,མུ་ཀུ་ལཱད་ག་མ,རྦ་རླབས་,b
hsc-botany-12-26,གསུམ་པ་ སྲོག་ཆགས་ཀྱི་རིགས་ཚུ་ བཀག་ཐབས་འབད་ཡོདཔ།,2,4,6,དབུ་དཀར་ནང་ལུ་,a
hsc-botany-12-27,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཀེར་ཐིག་,མེ་ཟོ་ཕི་ལ,པེ་རི་སིག་ལཱལ་,8,b
hsc-botany-12-28,འ་ནི་ལས་ཀ་འདི་གིས་ སྣུམ་འཁོར་ཚུ་ནང་ མེ་རླུང་རྒྱ་རྫི་གཏང་ནིའི་ནུས་པ་ལུ་ ཐོ་ཕོག་འོང་། འདི་ཡང་ ཀ་ལུཝིན་གྱི་འཁོར་ལོ་དང་ ཧེཆི་དང་ཨ་ལཱན་ཅི་གི་འཁོར་ལོ་ཨིན། ལྕགས་ཀྱུ་གཉིས་ཆ་ར་གིས་ གེལའུ་ཀོཟ་ བཟོ་དོ་ཡོདཔ་ཨིན།,ཨེཀ་སི་ཊི་ཨེས་ཏིག་ཨེ་སིཌ་,མ་ལི་ཀཨེ་སིཌ་,༣-ཕོསི་ཕོསི་ཇི་ལ་ཌེ་ཧའི་ཌི་,མནོ་བསམ་གཏང་ཐངས་,d
hsc-botany-12-29,CO_2 འབག་ནི་ལུ་ ཨེན་ཇི་ཨེམ་ག་འདི་ལག་ལེན་འཐབ་དོ་ག་?,ཀ^+ ཨིན་པས།,ཀ་^{++},SO_4,ཁམས་ལོག་སི་སི་གི་རྒྱུ་རྫས་འདི་ ཨེསི་ཌི་ཨའི་བི་ (ABA) ཟེར་མི་ ཨེསི་ཌི་ཨའི་བི་ (ABA) ཟེར་མི་ཅིག་ཨིན་མས།,a
hsc-botany-12-30,འ་ནི་ལས་ཀ་འདི་གིས་ སྣུམ་འཁོར་ཚུ་ནང་ མེ་རླུང་རྒྱ་རྫི་གཏང་ནིའི་ནུས་པ་ལུ་ ཐོ་ཕོག་འོང་། འདི་ཡང་ ཀ་ལུཝིན་གྱི་འཁོར་ལོ་དང་ ཧེཆི་དང་ཨ་ལཱན་ཅི་གི་འཁོར་ལོ་ཨིན། ལྕགས་ཀྱུ་གཉིས་ཆ་ར་གིས་ གེལའུ་ཀོཟ་ བཟོ་དོ་ཡོདཔ་ཨིན།,པཱར་ཏེ་ནོ་ཇེ་ནེས་སི་,ཨ་པོ་སི་པོ་རི་,ཨཔ་གཱམ་,PO_4,a
hsc-botany-12-31,ལྕོགས་ཅན་བཟོ་མི་ཨང་རིམ་གཉིས་པ་འདི་ ལྕོགས་ཅན་བཟོ་མི་ཨང་རིམ་དང་པ་དེ་ལས་ ལེགས་ཤོམ་ཨིན།,ལྕགས་ཤོག་གི་གཟུགས་,རའི་བོ་ཟོམ་,མི་ཊོ་ཀོནཌི་ཡ་,ཨཱན་ཌོ་ཇེ་ནེས་སི་,c
hsc-botany-12-32,i. ཀ་བེརཱཊི་གི་ཐོན་སྐྱེད་འདི་ ཡར་སེང་འགྱོ་དོ་ཡོདཔ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,ནིའུ་ཀིའུ་ལི་ཡཱསི་,b
hsc-botany-12-33,༢། མེ་རླུང་རྒྱ་རྫི་འདི་ རླུང་མ་ཚ་བའི་གནས་སྟངས་ནང་ལུ་བྱུང་ནུག,གཟུགས་ཀྱི་ནང་འཁོད་ལས་འོང་མི་ གེལའུ་ཀོཟ་འདི་ ལག་ལེན་འཐབ་ཨིན།,འདི་ཡང་ ཁམས་ཕྲན་ནང་རང་ བྱུང་ནུག,འདི་ཡང་ རླུང་མ་འཕུ་བའི་དབུགས་རྐྱབ་ཨིན།,"i, ii,དང་ iii",c
hsc-botany-12-34,གསུམ་པ་ འདི་ནང་ལུ་ chloroplastsགི་རིགས་གཉིས་ཡོདཔ་ཨིན།,སྐྱེ་བའི་ཨ་ལོ་འདི་,སོན་ཚུ་,ཤིང་འབྲས་,ཆུའི་ནང་འགྱོ་མི་,b
hsc-botany-12-35,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,34,35,36,བརྟག་དཔྱད་འབད་,c
hsc-botany-12-36,རང་བཞིན་གྱི་སྲོག་ཆགས་ཚུའི་ DNAའདི་ ཚེ་རིང་སྒྲིབ་ཀྱི་གནས་རིམ་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,ཤ་པ་ལཱལ་,ས་སྣུམ་འཁོར་,ཀ་ཅུ་རི་པཱན་,38,d
hsc-botany-12-37,C_4 ཚར་གཅིག་ནང་ ཚུད་མི་ ཀེར་ཐིག་དང་པ་འདི་ག་འདི་ཨིན་ན?,གཱ་ལི་ཀོ་ལའི་སི་,ཨ་སི་ཊི་ལཱསི་ ཀོ་ཨའི་,ཀེ་རེབསི་གི་འཁོར་ལོ་,ཀ་ར་བི་,a
hsc-botany-12-38,"Miosis-1 གི་འོག་རིམ་ནང་ chromosome གཉིས་ཀྱི་བར་ནའི་ཆ་ཤས་ཚུ་ བརྗེ་སོར་འབད་ཞིནམ་ལས་ 'X' བཟོ་བཀོད་འབད་འོང་།
stimulus འདི་ག་དེ་སྦེ་འགྱོ་འགྱོཝ་ཨིན་ན?
Miosis-1 གི་འོག་རིམ་ནང་ chromosome གཉིས་ཀྱི་བར་ནའི་ཆ་ཤས་ཚུ་ བརྗེ་སོར་འབད་ཞིནམ་ལས་ 'X' བཟོ་བཀོད་འབད་འོང་།",ཀ་ལསི་ཡཱེམ་,ཀ་བཱོན་,སཱལ་ཕ་ར་,ETS,d
hsc-botany-12-39,འདི་ལུ་བལྟ་བ་ཅིན་,ཧའི་པཱའར་མཱིས་,གཟུགས་ཁར་གྱི་པགས་པ་,མནོ་བསམ་གཏང་ཐངས་,ལི་གི་,c
hsc-botany-12-40,i. དེ་ལས་ chromosomeགསརཔ་ཐོན་ནུག,བོ་ཝེ་རི།,རུ་ཌཱོལ་ཕ་ ཝི་ར་ཅ་,W.Fleming གིས་བྲིས་ནུག,ཀེར་ཐིག་,c
hsc-botany-12-41,༢། ཚིགས་ལུ་འགྱུར་འགྱུར་གསརཔ་ཅིག་མཐོང་ནུག,i དང་ ii,i དང་ iii,ii དང་ iii,ཊཱར་སི་བ་ཛར་,d
hsc-botany-12-42,གསུམ་པ་ གཟུགས་འགྱུར་འགྱུར་འདི་བྱུང་ནུག,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii,དང་ iii",d
hsc-botany-12-43,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཟུར་ཐོ་ཚུ་ཡོད།,གཅིག་མཚུངས་,ཨ་ལོ་ཆགས་སའི་ས་སྒོ་,"i, ii,དང་ iii",a
hsc-botany-12-44,ཀ་རི་ཨོཔ་སིསི་འདི་ འོག་གི་ཤིང་འབྲས་ག་ཏེ་ལུ་མཐོང་ཚུགས་ནི་ཨིན་ན?,ནང་འཁོད་ལས་བྱུང་བའི་ལཱ་,སི་ཊོ་ཀི་ནེས་སི་,ཀ་རི་ཨོ་ཀི་ནེས་སི་,རྩ་ཅན་མེད་པའི་ལམ་ལུགས་,c
hsc-botany-12-45,ཨའི་ཤིང་གི་རིགས་ཚུ་ འགྱུར་བ་འགྱོ་མི་འདི་ ག་ཅི་ལུ་བརྟེན་ཨིན་ན?,སློབ་དཔོན་,མེ་ཊ་ཕ་ཡེསི་གི་རྒྱབ་སྐྱོར་,མེ་ཊ་ཕེསི་,ཌའི་ཀ་ནེས་སི་,c
hsc-botany-12-46,ཨེཊི་པི་ (ATP) གི་ཤུགས་འདི་ ག་ལིག་པོ་ལི་སི་ལུ་ག་དེམ་ཅིག་འགྲོ་སོང་ཡོདཔ་ཨིན་ན?,མདའ་གཞུ་,ཀི་རིཔ་ཊོ་ཇེཊི་,ཁུ་སིམ་སི་,ཨ་ན་ཕ་ཇ་,a
hsc-botany-12-47,ལྕངམ་གི་རྩ་བ་གི་གཟུགས་ལུ་ ག་ཅི་སླབ་ནི་ཡོདཔ་ཨིན་ན?,རྦ་རླབས་,བུམ་ཐང་ལུ་,མེ་འབར་ནི་,Trafojet,a
hsc-botany-12-48,C_r ཤིང་སྡོང་འདི་ནང་ལུ་ ཀ་བཱོན་མར་བབས་སོང་པའི་སྐབས་ འགོ་དང་པ་རང་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་ ཀ་བཱོན་མར་བབས་སོང་མི་,Pteris,སའི་ཀཱསི་,Dracaena,གེ་ཟ་,c
hsc-botany-12-49,ག་འདི་མགྱོགས་དྲགས་སྦེ་ ཉུང་གསོཝ་ཨིན་ན?,དཀར་ཆག་,དཀར་ཆག་,དམར་པོ་,ལི་ཀོ་པོཌི་ཡམ་,c
hsc-botany-12-50,བྱ་རིམ་ག་ཅི་གིས་ སྐྱེ་སྒོ་ནང་ལས་ སྐྱེ་ལྡན་ཨ་ལོ་སྐྱེ་ནིའི་ནུས་ཤུགས་ཐོབ་ཚུགས་ག?,i དང་ ii,ii དང་ iii,i དང་ iii,དམར་ཁུ་,c
hsc-botany-12-51,ཀེ་རེབསི་གི་འཁོར་ལོ་འདི་ ཁམས་ཀྱི་ཡན་ལག་ག་ཏེ་ལུ་ མཇུག་བསྡུ་ནི་ཨིན་ན?,ཀ^+ ཨིན་པས།,Na^+ ཨིན་ན།,Mg^{++} འདི་ཡང་,"i, ii,དང་ iii",a
hsc-botany-12-53,i. གནས་སྐབས་ཀྱི་རྩ་བ་འདི་ བཟོ་ནུག,ཇི་ནཔ་རཱས་ལཱལ་,གྲོ་ཞིབ་འདི་ གྲ་སྒྲིག་འབད་ཚར་ནུག,ལའི་སོམས,ཀ་^{++},b
hsc-botany-12-54,༢། Anabaenaགིས་ གནོད་སྐྱོན་རྐྱབ་ཡོདཔ་ཨིན།,ནིའུ་ཀིའུ་ལི་ཡཱསི་,མི་ཊོ་ཀོནཌི་ཡ་,ཊི་ཤུའི་ཀཱོལ་ (tissue culture),མི་ཊོ་ཀོནཌི་ཡ་,a
hsc-botany-12-55,གསུམ་པ་ འདི་ཚུ་ རྒྱ་མཚོ་གི་པགས་མ་བཟུམ་ཅིག་ལུ་ བཟོ་བཀོད་འབདཝ་ཨིན།,བརྡ་བཀོད་ཚུ།,སྲོག་ཆགས་ཀྱི་སྤོས་,རའི་བོ་ཟོམ་,ནད་བཀག་སྨན་བཟོ་སྐྲུན་འབད་ཐངས་,b
hsc-botany-12-56,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ཤོག་ལེབ་,མེ་ཏོག་,ཨ་ལོ་ཆགས་མི་ཚུ་,ཀ་ལོརོ་པཱསི་ཊིསི་,a
hsc-botany-12-57,སྦལཔ་མེ་ཏོག་གི་ཁྱད་ཆོས་ག་ཅི་ཡོདཔ་ཨིན་ན?,མེ་ཟོ་ཕི་ལ,མནོ་བསམ་གཏང་ཐངས་,ངོ་མ་,ཀཱན་ཌ་ཤི་ཤི་,a
hsc-botany-12-58,ནིའུ་ཀིའུཊི་འདི་ དབྱེ་བ་ཕྱེ་ནིའི་དོན་ལས་ ག་ཅི་སླབ་ནི་ཨིན་ན?,མི་ཊོ་ཀོནཌི་ཡ་,Endoplasmic reticulum འདི་ཡང་མཐའ་མཇུག་གི་པགས་ཚལ་གྱི་ ཕྲ་རིང་འདི་ཨིན།,མནོ་བསམ་གཏང་ཐངས་,ཤིང་གི་རྩ་བ་,c
hsc-botany-12-59,རང་སྲོག་བཅད་མི་ཚུའི་སྒོ་ལས་ ཐབས་ཤེས་ག་ཅི་བཏོན་ནི་ཨིན་ན?,ཀེ་རེབསི་གི་འཁོར་ལོ་,Acetyl Co.ལུ་ བཟོ་སྐྲུན་འབད་ཡོདཔ་ཨིན།,རྦ་ག་འཁྱུ་མི་ཚུ་,འཁོར་ལམ་,d
hsc-botany-12-60,མ་ལ་རི་ཡ་ནད་འབུབ་འདི་ མི་གི་གཟུགས་ནང་འཛུལ་ནིའི་ལམ་ལུགས་འདི་ ག་དེ་སྦེ་ཡོདཔ་ཨིན་ན?,པི་རོཊི་ནེཊི་,ཝི་ཊ་མིན་ཚུ་,ETS,རའི་བོ་ཟོམ་,a
hsc-botany-12-61,ལྡུམ་ར་འདི་ནང་ལུ་ ཤིང་གི་རིགས་ག་ཅི་ཡོདཔ་སྨོ་,༦༠་གི་ལོ་ནང་,༥༠s,ལི་པིཌ་,གཱ་ལི་ཀོ་ལའི་སི་,b
hsc-botany-12-62,ལེ་པེཊི་སེནཊི་གི་ཁྲུས་ཚིགས་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,ཀ་རི་ཨོ་ཀི་ནེས་སི་,སི་ཊོ་ཀི་ནེས་སི་,༤༠ ཚུན་,སྣུམ་འཁོར་ཧེ་ཊར་,b
hsc-botany-12-63,འོད་ཟེར་འདི་ནང་ལུ་ photosynthesisགི་ཚད་འདི་ ག་བཟུམ་ཅིག་ཡོདཔ་ཨིན་ན?,ལེཔ་ཏོ་ནིན་,ཟི་གཱོ་ཏིན་,མེ་ཊ་ཀི་ནེས་སི་,༣༠s,c
hsc-botany-12-65,i. ཀའི་ཡ་ཟམ་ བཟོ་ནི་,i དང་ ii,ii དང་ iii,པ་ཀི་ཊིན་,ཌའི་ཀ་ནེས་སི་,a
hsc-botany-12-66,༢། chromosome གི་གནས་རིམ་འདི་ tetrad ནང་ལུ་ཡོདཔ་ཨིན།,ལྕགས་ཀྱུ་འདི་ནང་ལུ་ ལྕགས་ཀྱུ་ལེ་ཤ་ཡོདཔ་ཨིན།,ས་སྒོ་ག་ར་ནང་ དུག་འཕུར་མི་འབུབ་,L,ཌིཔ་ལོཊིན་,b
hsc-botany-12-67,གསུམ་པ་ Nuclear membrane གི་ཉམས་འགྱོ་ནི་,སོན་ཚུ་,ཤིང་འབྲས་,i དང་ iii,I,a
hsc-botany-12-68,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,པི་ནཱསི་,སེ་ཀོ་ཡཱ།,ཤོག་ལེབ་ཁ་ཕྱེ་,"i, ii,དང་ iii",c
hsc-botany-12-69,Poaceae གི་ཁྱད་ཆོས་ག་ཅི་ཡོདཔ་ཨིན་ན?,དམིགས་བསལ་,ཟུར་ཐིག་,སྐྱེ་བའི་ཨ་ལོ་འདི་,ཨེསི་ཊི་ཨའི་ཨེམ་རཱའི་རྣམ་ཐར།,b
hsc-botany-12-70,སྐྱེ་བའི་ཤུལ་ལུ་ ཨོམ་འདི་ འགྱུར་བ་འགྱོ་ནུག,ཧའི་བི་རི་ཡཱན་,ཡན་ལག་གི་པེ་ནཱལ་,སའི་ཀཱསི་,ལོ་ཐོག་ཚུ་,a
hsc-botany-12-71,འཛམ་གླིང་ནང་ འབུབ་སྦོམ་ཤོས་དེ་ ག་ལུ་ཡོདཔ་ཨིན་ན?,1,2,མིང་ཐོ་,Gnetum,a
hsc-botany-12-72,ཚལ་ལུའི་མེ་ཏོག་འདི་ ཚར་མ་ཆད་པར་ རིམ་སྒྲིག་འབདཝ་ཨིན།,2,4,པཱར་ཏེ་ནོ་ཇེ་ནེས་སི་,ས་སྒོ་ལེ་ཤ་ནང་,d
hsc-botany-12-73,ཁྱད་ཆོས་ག་ཅི་ལུ་བརྟེན་ ཁྱད་པར་འཐོན་ནི་ཨིན་ན?,3,4,3,རང་གིས་རང་ལུ་ བཀྲམ་སྤེལ་འབདཝ་ཨིན།,c
hsc-botany-12-74,Cycas ཟེར་མི་ཚུའི་ནང་ chromosome གི་གྲངས་རྩིས་འདི་:,གཱ་ལི་ཀོ་ལིསི་,Acetyl Co.ལུ་ བཟོ་སྐྲུན་འབད་ཡོདཔ་ཨིན།,8,4,d
hsc-botany-12-75,བྱམོ་༤ གིས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་ སྐྱེ་ལྡན་སྲོག་ཆགས་ཀྱི་སྒོ་ལས་,དམར་ཁུ་,དཀར་ཆག་,5,16,c
